Datum,Mittlere_Temperatur,Temp_max,Temp_min,Regen_mm,Strahlung,Mittlere_Windgeschwindigkeit_km/h,Windboen_km/h,Richtung,Mittlerer_Luftdruck_hPa,Mittlere_Luftfeuchte,Taupunkt,Sonnenscheindauer_Min
2020-04-27,17.81,23.16,12.15,1.44,163.15,6.67,23.22,210,993.55,46.54,9.51,310
2020-04-26,14.30,21.49,5.49,0.00,287.77,5.53,16.20,122,994.91,41.68,3.88,730
2020-04-25,14.97,19.27,9.91,0.00,289.15,6.30,18.84,199,996.14,40.12,4.53,730
2020-04-24,17.09,23.72,9.28,0.00,266.47,8.99,37.58,215,997.90,39.06,4.09,710
2020-04-23,16.41,22.07,9.91,0.01,282.34,8.70,21.78,52,1002.97,33.89,3.20,720
2020-04-22,16.35,22.88,9.70,0.00,282.72,12.79,28.26,46,1000.55,28.44,-1.33,720
2020-04-21,15.66,22.95,9.85,0.00,244.86,16.43,36.42,50,997.65,28.34,-1.92,700
2020-04-20,14.76,20.38,9.28,0.00,266.63,16.03,34.26,51,998.74,38.84,4.70,700
2020-04-19,16.59,21.38,12.16,0.00,223.22,8.83,26.88,63,1000.38,59.78,10.48,620
2020-04-18,18.69,24.39,13.85,0.00,229.17,7.36,27.66,203,999.97,49.99,9.55,660
2020-04-17,18.26,25.05,11.77,0.00,234.82,5.00,17.82,184,1000.16,45.31,8.11,690
2020-04-16,15.48,24.13,6.25,0.00,230.92,4.80,16.62,164,1002.75,38.15,5.09,630
